temp,hum,soil,lux,fan,light,pump
35.52,56.28,24.71,3185.66,1,0,1
27.65,64.97,51.87,54.93,0,1,0
28.8,59.19,47.45,0.0,0,1,1
20.84,70.6,53.85,0.0,0,1,0
21.27,85.99,83.53,0.0,0,1,0
27.63,70.6,48.61,0.0,0,1,1
28.33,84.93,77.22,508.98,0,0,0
27.97,64.96,52.88,1600.0,0,0,0
27.16,61.67,42.17,114.27,0,1,1
26.17,76.14,70.41,279.61,0,0,0
20.41,85.96,86.91,108.41,0,1,0
27.58,59.05,44.09,0.0,0,1,1
35.33,55.56,40.83,3517.31,1,0,1
29.17,83.99,70.02,279.83,0,0,0
25.05,69.79,61.62,0.0,0,1,0
40.12,40.27,29.18,5000.0,1,0,1
36.27,47.48,31.41,4459.51,1,0,1
40.14,50.7,23.22,4895.78,1,0,1
23.37,73.82,67.41,13.44,0,1,0
35.41,56.67,39.06,2274.86,1,0,1
22.25,87.46,84.99,8.88,0,1,0
35.18,65.91,33.52,2485.87,1,0,1
26.36,73.23,57.55,42.06,0,1,0
25.17,79.71,49.62,28.09,0,1,1
31.98,75.87,64.93,859.27,1,0,0
34.89,62.59,37.23,2205.96,1,0,1
28.87,63.09,41.11,0.0,0,1,1
27.77,62.11,49.54,0.0,0,1,1
29.0,79.87,56.54,74.44,0,1,0
25.56,86.34,48.41,0.0,0,1,1
26.16,56.91,46.85,39.5,0,1,1
30.1,81.2,74.95,580.91,1,0,0
41.22,49.19,24.3,4373.63,1,0,1
30.41,59.2,42.32,0.0,1,1,1
28.15,60.95,50.8,1408.57,0,0,0
23.37,78.41,50.74,217.06,0,0,0
18.29,98.04,75.54,77.28,0,1,0
23.67,72.8,54.93,54.15,0,1,0
26.58,72.05,44.16,94.99,0,1,1
37.67,64.5,52.06,3786.78,1,0,0
28.2,59.62,46.64,553.85,0,0,1
23.53,73.54,50.82,0.0,0,1,0
27.45,64.64,56.95,1421.07,0,0,0
32.1,51.45,39.64,3215.25,1,0,1
33.91,60.02,38.14,2183.54,1,0,1
25.89,64.45,52.94,0.0,0,1,0
28.06,69.54,43.43,27.37,0,1,1
28.05,79.89,48.68,1026.77,0,0,1
22.52,74.86,69.71,1.17,0,1,0
27.01,77.4,49.82,0.0,0,1,1
18.85,90.49,92.12,2.97,0,1,0
29.58,65.33,47.57,706.24,0,0,1
29.68,62.88,41.31,1281.57,0,0,1
27.17,65.06,53.46,1370.32,0,0,0
28.53,72.73,70.99,670.54,0,0,0
30.02,76.11,51.4,1193.06,1,0,0
21.1,93.35,86.52,111.36,0,1,0
29.27,74.29,70.98,564.57,0,0,0
25.59,73.97,72.22,516.33,0,0,0
30.28,77.35,42.29,1219.53,1,0,1
23.27,75.57,66.96,0.0,0,1,0
19.52,88.67,75.35,32.92,0,1,0
26.7,66.67,44.83,0.0,0,1,1
21.12,84.48,88.21,0.0,0,1,0
33.42,65.07,45.28,2401.4,1,0,1
22.87,77.5,56.75,230.34,0,0,0
29.09,62.26,50.02,2307.35,0,0,0
18.94,86.31,82.87,14.13,0,1,0
32.91,63.5,33.09,2176.14,1,0,1
29.36,68.38,41.81,5.88,0,1,1
23.86,81.8,58.37,29.65,0,1,0
22.64,70.23,64.14,740.13,0,0,0
35.97,63.52,33.31,2581.43,1,0,1
37.39,56.78,46.33,3308.2,1,0,1
26.37,64.38,48.49,0.0,0,1,1
30.23,75.22,76.69,621.75,1,0,0
22.97,78.15,62.78,21.83,0,1,0
18.44,85.84,82.87,115.46,0,1,0
28.65,67.96,38.51,0.0,0,1,1
24.98,69.4,54.48,1194.73,0,0,0
24.01,70.51,54.01,450.25,0,0,0
22.06,72.75,61.03,66.44,0,1,0
33.5,47.68,40.2,2798.14,1,0,1
34.89,66.13,35.03,2497.15,1,0,1
36.12,66.14,28.71,2417.81,1,0,1
23.76,78.07,53.85,162.09,0,1,0
42.67,47.53,26.67,4674.71,1,0,1
42.11,37.37,31.36,4998.22,1,0,1
22.56,81.97,65.94,0.0,0,1,0
29.34,74.56,53.99,839.73,0,0,0
40.4,53.44,24.19,4725.71,1,0,1
24.66,73.88,41.75,1186.17,0,0,1
34.26,56.75,42.23,3033.11,1,0,1
25.34,79.3,48.22,0.0,0,1,1
36.25,45.26,29.45,3667.61,1,0,1
19.38,90.73,77.44,0.0,0,1,0
19.61,93.73,89.88,90.11,0,1,0
22.19,72.97,58.55,56.94,0,1,0
24.84,71.5,64.52,70.81,0,1,0
39.23,46.8,31.03,4341.88,1,0,1
30.18,64.19,51.38,0.0,1,1,0
34.43,64.01,32.79,2011.34,1,0,1
23.71,75.68,68.43,149.16,0,1,0
31.59,76.0,64.34,657.01,1,0,0
35.34,54.64,35.26,3741.99,1,0,1
25.48,83.06,53.82,122.9,0,1,0
29.83,78.46,73.8,326.53,0,0,0
28.03,65.9,40.73,115.08,0,1,1
22.51,78.88,69.31,185.28,0,1,0
25.86,66.71,32.93,0.0,0,1,1
36.79,49.79,27.41,4331.39,1,0,1
27.26,60.39,44.35,112.01,0,1,1
22.88,75.11,54.4,0.0,0,1,0
39.12,45.75,36.49,4645.46,1,0,1
23.49,76.67,63.1,0.0,0,1,0
27.59,67.21,47.66,186.85,0,1,1
25.38,83.0,54.5,33.65,0,1,0
36.17,59.33,45.1,3471.57,1,0,1
21.1,91.29,80.32,0.0,0,1,0
33.39,76.39,60.05,823.3,1,0,0
38.57,51.56,27.05,4723.81,1,0,1
25.58,78.09,61.25,45.06,0,1,0
33.9,66.38,43.76,2032.46,1,0,1
18.83,94.22,92.11,40.71,0,1,0
25.65,74.62,60.34,688.0,0,0,0
23.57,72.23,67.06,79.14,0,1,0
23.33,81.29,54.07,0.0,0,1,0
30.03,63.45,43.32,1305.35,1,0,1
32.61,52.8,37.23,2209.2,1,0,1
20.27,86.76,82.26,271.02,0,0,0
27.95,68.57,45.4,198.72,0,1,1
35.2,55.55,38.88,3772.78,1,0,1
34.27,59.98,37.9,2240.54,1,0,1
25.46,79.06,66.66,6.72,0,1,0
35.28,59.56,38.26,2774.3,1,0,1
23.07,77.24,66.42,53.01,0,1,0
24.07,73.25,58.58,0.0,0,1,0
20.33,91.22,86.51,0.0,0,1,0
31.1,75.97,52.22,1138.75,1,0,0
36.5,54.28,38.38,2223.88,1,0,1
30.56,70.19,51.59,0.0,1,1,0
34.22,63.02,39.43,2242.99,1,0,1
20.61,90.72,81.32,0.0,0,1,0
27.28,63.9,55.61,0.0,0,1,0
26.1,69.96,38.13,69.1,0,1,1
30.58,74.0,67.67,690.54,1,0,0
30.56,68.6,50.09,165.79,1,1,0
27.21,83.52,82.66,507.52,0,0,0
34.6,60.73,37.92,2218.44,1,0,1
24.59,69.9,61.65,1172.51,0,0,0
35.55,65.18,37.67,1863.16,1,0,1
40.96,41.61,34.44,4664.77,1,0,1
34.37,62.69,42.47,3447.96,1,0,1
27.41,81.63,48.86,92.4,0,1,1
21.51,94.79,85.16,0.0,0,1,0
30.72,72.5,70.04,690.93,1,0,0
41.24,44.62,26.34,4963.24,1,0,1
35.09,54.44,36.93,4033.9,1,0,1
22.69,82.86,44.4,0.0,0,1,1
24.95,74.94,69.3,410.76,0,0,0
17.74,91.36,78.27,0.0,0,1,0
31.37,61.26,37.16,1479.87,1,0,1
26.37,70.45,41.65,71.68,0,1,1
20.44,81.3,59.3,16.89,0,1,0
27.49,57.95,40.89,616.17,0,0,1
33.07,62.15,41.67,2231.95,1,0,1
24.9,77.59,66.8,0.0,0,1,0
29.91,76.28,64.7,605.54,0,0,0
26.41,72.13,48.63,1484.9,0,0,1
18.52,90.02,83.53,0.0,0,1,0
24.89,71.12,51.19,910.54,0,0,0
27.39,70.88,54.18,1693.11,0,0,0
20.48,85.41,87.31,58.13,0,1,0
35.94,58.25,34.77,2318.5,1,0,1
32.11,70.83,64.02,909.74,1,0,0
19.39,88.05,83.88,124.9,0,1,0
26.96,70.64,54.79,0.0,0,1,0
32.83,70.51,40.55,1513.92,1,0,1
24.23,75.52,70.51,200.43,0,0,0
30.8,69.92,62.78,573.93,1,0,0
34.43,54.02,40.89,3766.31,1,0,1
36.92,44.51,18.88,4128.01,1,0,1
28.92,75.43,48.95,1133.4,0,0,1
27.08,69.64,52.84,0.0,0,1,0
33.99,56.93,37.09,1879.62,1,0,1
18.17,90.91,80.65,73.05,0,1,0
31.1,66.89,41.04,1619.99,1,0,1
22.99,97.38,90.5,0.0,0,1,0
23.54,80.0,58.41,70.38,0,1,0
39.27,45.53,24.61,5000.0,1,0,1
30.9,79.37,70.92,612.97,1,0,0
23.53,87.98,80.12,321.08,0,0,0
36.95,45.39,25.32,4363.92,1,0,1
27.67,67.11,40.22,0.0,0,1,1
29.73,65.48,49.79,364.03,0,0,1
26.43,70.45,37.94,0.0,0,1,1
24.63,90.61,58.95,0.0,0,1,0
30.32,61.46,53.57,2311.3,1,0,0
22.69,78.19,55.51,0.0,0,1,0
26.11,77.48,60.25,107.96,0,1,0
33.24,73.68,63.13,724.53,1,0,0
26.83,76.74,55.47,0.0,0,1,0
26.34,62.78,33.42,0.0,0,1,1
24.51,74.93,60.34,0.0,0,1,0
27.34,87.13,69.68,0.0,0,1,0
24.26,81.83,59.72,69.5,0,1,0
24.04,77.52,46.62,158.28,0,1,1
34.67,58.99,39.17,2430.37,1,0,1
26.03,84.65,76.91,225.34,0,0,0
34.63,53.7,47.49,3947.23,1,0,1
27.97,59.54,48.18,0.0,0,1,1
28.09,56.88,47.68,113.67,0,1,1
22.05,79.82,58.61,62.98,0,1,0
35.68,48.93,29.4,4195.16,1,0,1
17.81,94.48,78.43,0.0,0,1,0
26.17,78.92,61.02,120.61,0,1,0
32.77,68.87,34.87,1699.8,1,0,1
31.09,74.6,64.18,584.05,1,0,0
27.13,60.55,43.14,0.0,0,1,1
22.07,94.74,89.14,0.0,0,1,0
26.09,61.41,47.47,187.97,0,1,1
26.76,64.92,37.57,78.17,0,1,1
34.52,61.87,40.57,2166.14,1,0,1
18.43,92.07,82.94,281.68,0,0,0
36.59,54.13,29.31,4094.49,1,0,1
25.88,78.97,57.78,59.58,0,1,0
27.84,62.43,52.43,0.0,0,1,0
18.4,88.35,81.71,73.66,0,1,0
29.71,64.99,51.8,7.6,0,1,0
22.62,79.21,60.98,0.0,0,1,0
36.02,55.36,43.68,3549.02,1,0,1
23.25,81.14,59.29,0.0,0,1,0
34.48,48.45,32.53,1902.47,1,0,1
27.85,74.17,49.94,437.37,0,0,1
23.44,85.18,82.95,390.55,0,0,0
27.58,73.64,70.28,539.88,0,0,0
27.59,73.0,48.86,480.73,0,0,1
25.28,63.78,50.0,0.0,0,1,1
26.83,57.89,36.87,0.0,0,1,1
40.27,48.12,26.09,4600.36,1,0,1
25.0,80.73,47.3,169.56,0,1,1
22.64,74.6,58.12,94.01,0,1,0
27.58,76.93,59.83,594.0,0,0,0
30.4,64.54,44.93,0.0,1,1,1
27.92,79.17,73.01,408.57,0,0,0
28.34,66.4,45.87,2286.44,0,0,1
27.49,59.49,40.65,0.0,0,1,1
36.29,55.44,34.27,3040.29,1,0,1
23.33,83.52,59.78,0.0,0,1,0
24.71,83.43,58.24,65.32,0,1,0
35.57,65.58,44.41,2202.66,1,0,1
26.01,73.78,49.05,1298.44,0,0,1
26.44,73.76,49.14,31.67,0,1,1
27.07,72.53,54.69,690.18,0,0,0
33.25,60.34,36.65,2219.63,1,0,1
27.65,64.74,53.0,1148.15,0,0,0
29.71,64.73,48.47,0.0,0,1,1
25.47,76.97,53.39,0.0,0,1,0
37.48,53.53,37.87,2852.66,1,0,1
22.7,78.39,51.43,21.12,0,1,0
40.7,47.29,31.43,4735.16,1,0,1
29.01,77.6,48.22,820.44,0,0,1
29.26,60.31,42.31,0.0,0,1,1
25.05,79.25,56.79,0.0,0,1,0
35.8,49.26,26.67,3746.19,1,0,1
